,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points
1,5,7,4,0.12,2014,1,2075.0,0,1,89.92
4,5,7,4,0.12,2014,1,2075.0,0,2,88.83
9,5,7,0,0.1,2014,1,1822.5,0,4,88.25
18,1,1,4,0.1,2015,1,1450.0,0,0,87.25
20,14,7,4,0.0,2014,1,2019.0,0,0,87.25
21,3,3,4,0.11,2014,1,1300.0,0,2,87.17
22,11,7,4,0.13,2012,1,1320.0,0,0,87.17
25,0,0,0,0.12,2011,1,1250.0,0,2,86.92
27,18,11,4,0.12,2013,1,1950.0,0,1,86.83
29,15,14,2,0.0,2015,1,1200.0,0,0,86.58
32,0,0,0,0.12,2011,1,1300.0,0,2,86.42
33,3,3,4,0.0,2016,0,1300.0,0,0,86.33
35,9,13,4,0.12,2013,0,1800.0,0,1,86.25
40,17,3,4,0.1,2012,1,1300.0,1,9,86.17
43,15,0,3,0.12,2015,1,1000.0,0,0,86.08
44,9,12,0,0.11,2014,0,1754.0,0,2,86.08
45,0,0,3,0.11,2011,0,1250.0,0,2,86.08
47,2,3,4,0.12,2013,1,1200.0,1,1,86.0
48,9,12,4,0.11,2013,1,1860.0,0,1,86.0
49,18,7,4,0.1,2012,0,1650.0,0,0,86.0
53,18,11,0,0.12,2013,1,1650.0,0,0,85.92
54,2,3,4,0.0,2013,0,1800.0,1,0,85.92
55,14,4,4,0.08,2017,0,1600.0,0,0,85.83
57,6,0,4,0.12,2012,1,464.49253276440106,0,3,85.83
58,6,2,4,0.1,2012,0,431.97805547089297,0,1,85.83
62,4,0,4,0.1,2013,0,1500.0,0,3,85.58
63,4,0,3,0.11,2012,1,1350.0,0,0,85.58
66,9,12,0,0.1,2014,1,1900.0,0,3,85.5
67,5,7,0,0.12,2015,1,1900.0,0,7,85.5
68,18,11,4,0.12,2013,1,1600.0,0,1,85.5
69,6,0,4,0.11,2013,1,527.6635172203596,0,1,85.5
71,18,11,4,0.12,2013,1,1950.0,0,5,85.42
73,0,0,3,0.11,2011,0,1250.0,0,1,85.42
75,1,1,0,0.1,2015,1,1700.0,0,0,85.33
76,6,8,0,0.11,2014,1,1770.0,0,1,85.33
77,3,3,4,0.0,2014,0,1300.0,0,0,85.33
78,3,3,4,0.1,2014,0,1300.0,0,2,85.33
79,9,13,4,0.0,2012,1,1600.0,0,2,85.33
80,9,13,4,0.0,2012,1,1200.0,0,6,85.33
84,2,3,4,0.11,2015,1,1550.0,0,0,85.25
85,2,3,0,0.12,2014,1,1550.0,0,2,85.25
86,8,7,3,0.11,2012,1,1325.0,0,3,85.17
92,2,3,0,0.11,2012,1,2136.0,0,8,85.08
96,18,11,4,0.11,2016,1,1800.0,0,1,85.0
98,3,2,4,0.12,2016,1,1900.0,1,1,85.0
99,11,15,4,0.09,2015,1,1300.0,0,3,85.0
101,9,13,4,0.0,2012,1,1580.0,0,5,85.0
102,0,6,0,0.12,2012,1,1100.0,0,3,85.0
107,2,3,4,0.12,2015,1,1775.0,0,1,84.92
108,15,15,3,0.11,2015,1,800.0,0,0,84.92
109,16,7,4,0.12,2014,1,1620.0,0,2,84.92
110,2,3,4,0.11,2012,1,1775.0,0,3,84.92
112,0,0,0,0.11,2011,1,1200.0,0,2,84.92
113,0,2,0,0.12,2011,1,1000.0,0,2,84.92
115,15,15,0,0.0,2016,1,350.0,0,0,84.83
116,18,11,0,0.12,2013,1,1650.0,0,1,84.83
121,9,13,4,0.13,2014,1,1800.0,0,0,84.75
122,7,2,4,0.11,2014,1,1450.0,0,4,84.75
125,4,0,4,0.0,2016,0,1350.0,0,2,84.67
126,8,7,4,0.12,2016,1,1200.0,0,7,84.67
128,3,2,4,0.1,2015,0,1150.0,0,2,84.67
129,6,0,4,0.1,2015,1,1600.0,0,1,84.67
130,3,3,4,0.12,2014,1,1750.0,0,0,84.67
132,3,7,1,0.08,2014,1,1750.0,0,1,84.67
133,3,2,4,0.11,2014,1,1200.0,0,4,84.67
135,15,15,4,0.11,2014,1,1000.0,0,0,84.67
136,2,3,4,0.0,2013,1,1550.0,0,0,84.67
137,9,12,4,0.11,2012,0,2000.0,0,0,84.67
138,6,0,4,0.11,2012,1,399.46357817738493,0,4,84.67
139,6,0,4,0.12,2012,1,464.49253276440106,0,4,84.67
141,18,7,4,0.11,2012,0,1775.0,0,3,84.67
145,2,7,4,0.0,2016,0,1500.0,0,4,84.58
147,9,7,4,0.1,2013,0,1800.0,0,2,84.58
148,6,9,4,0.11,2014,1,464.49253276440106,0,1,84.58
149,6,0,4,0.09,2014,1,371.5940262115209,0,0,84.58
153,2,3,4,0.0,2012,1,1750.0,0,2,84.58
154,3,0,3,0.12,2012,0,1575.0,0,2,84.58
155,2,3,4,0.11,2012,1,1800.0,0,6,84.58
156,0,0,3,0.12,2011,1,1300.0,0,2,84.58
157,0,2,3,0.11,2011,0,1100.0,0,1,84.58
158,3,3,4,0.1,2018,0,1200.0,0,2,84.5
159,18,11,4,0.11,2016,1,1750.0,0,1,84.5
160,1,1,4,0.1,2015,1,1680.0,0,1,84.5
161,3,3,4,0.11,2014,1,1700.0,0,0,84.5
162,2,7,4,0.12,2016,1,1800.0,1,0,84.5
163,1,7,4,0.0,2013,1,1100.0,0,2,84.5
164,6,0,4,0.11,2013,1,399.46357817738493,0,2,84.5
165,9,12,4,0.11,2012,0,2000.0,0,0,84.5
166,11,15,4,0.12,2012,1,1350.0,0,0,84.5
171,3,3,4,0.1,2016,0,1300.0,0,3,84.42
172,8,5,1,0.0,2017,0,1400.0,0,3,84.42
174,2,3,4,0.0,2014,1,1775.0,0,3,84.42
175,15,15,4,0.11,2012,0,1200.0,0,0,84.42
179,9,12,4,0.11,2018,1,1800.0,0,4,84.33
182,7,2,4,0.11,2016,1,1500.0,0,2,84.33
184,2,3,0,0.11,2015,1,442.0,6,0,84.33
185,2,3,4,0.0,2013,1,1800.0,0,0,84.33
186,11,15,4,0.12,2012,0,1700.0,0,1,84.33
191,15,15,4,0.12,2016,0,1000.0,0,0,84.25
192,17,1,0,0.12,2015,1,1200.0,0,0,84.25
193,2,3,0,0.11,2016,1,2560.0,0,2,84.25
194,6,3,4,0.11,2016,1,1500.0,0,4,84.25
195,6,3,4,0.1,2015,1,335.084913136239,0,1,84.25
196,1,1,0,0.1,2015,1,1400.0,0,1,84.25
197,2,3,4,0.11,2015,1,1775.0,0,3,84.25
198,2,3,4,0.12,2015,1,1775.0,4,2,84.25
199,2,7,4,0.12,2016,1,1800.0,0,0,84.25
200,2,3,0,0.12,2015,1,442.0,3,0,84.25
201,16,7,4,0.12,2014,1,1620.0,0,7,84.25
202,16,7,4,0.12,2014,1,1600.0,0,2,84.25
203,6,0,1,0.1,2014,1,371.5940262115209,0,1,84.25
204,2,3,4,0.11,2013,1,1700.0,0,2,84.25
206,11,15,3,0.12,2012,1,1450.0,0,1,84.25
207,11,0,4,0.12,2012,1,1170.0,0,0,84.25
208,11,0,4,0.1,2012,0,1400.0,0,4,84.25
209,18,7,0,0.13,2012,1,1700.0,4,29,84.25
210,6,0,4,0.13,2017,1,1700.0,0,1,84.17
212,3,3,4,0.09,2016,0,1700.0,0,2,84.17
213,6,3,4,0.11,2016,1,340.3801280097531,0,6,84.17
214,6,3,4,0.1,2016,1,1565.0,0,10,84.17
215,6,0,4,0.1,2016,1,3280.0,0,2,84.17
216,2,3,4,0.0,2015,0,1775.0,0,0,84.17
217,13,3,0,0.12,2015,0,1000.0,0,0,84.17
219,3,3,4,0.0,2014,0,1850.0,0,0,84.17
220,5,4,0,0.1,2014,1,1606.5,0,5,84.17
221,16,7,4,0.13,2014,1,1400.0,0,0,84.17
222,2,7,4,0.12,2015,1,1530.0,0,4,84.17
224,9,12,4,0.08,2013,1,250.5,0,0,84.17
225,0,6,0,0.11,2012,1,1038.5,0,3,84.17
226,6,0,4,0.11,2013,1,399.46357817738493,0,4,84.17
227,4,0,0,0.11,2013,0,1500.0,0,2,84.17
228,2,3,4,0.0,2012,1,1750.0,0,2,84.17
230,18,7,4,0.11,2012,1,1600.0,0,1,84.17
232,2,3,4,0.0,2018,1,442.0,1,3,84.08
233,15,15,4,0.1,2016,0,968.0,0,4,84.08
236,6,0,4,0.1,2014,0,1550.0,0,10,84.08
238,11,15,4,0.11,2012,1,1480.0,1,10,84.08
241,5,4,0,0.11,2017,1,1800.0,3,1,84.0
242,7,3,4,0.1,2017,1,1500.0,0,5,84.0
243,6,3,4,0.12,2015,1,520.2316366961293,0,7,84.0
244,2,7,4,0.11,2015,1,1600.0,2,7,84.0
245,6,0,0,0.1,2014,1,371.5940262115209,0,1,84.0
246,6,0,1,0.1,2014,1,371.5940262115209,0,0,84.0
248,2,3,0,0.12,2014,1,1450.0,0,0,84.0
249,2,3,4,0.12,2014,1,1775.0,0,3,84.0
250,5,7,0,0.09,2013,1,1550.0,4,40,84.0
251,0,16,0,0.1,2014,1,1260.0,0,0,84.0
252,2,3,4,0.11,2013,1,1700.0,0,1,84.0
253,9,13,4,0.0,2012,1,1200.0,0,2,84.0
255,9,12,4,0.0,2012,0,1650.0,0,0,84.0
256,18,7,4,0.1,2012,1,1700.0,10,26,84.0
258,0,0,0,0.0,2018,1,890.0,0,3,83.92
259,11,6,4,0.11,2017,1,1300.0,0,5,83.92
260,17,1,0,0.1,2015,0,1350.0,0,1,83.92
261,0,0,0,0.11,2016,1,934.0,0,7,83.92
262,15,15,4,0.11,2015,1,1200.0,0,3,83.92
268,2,3,4,0.0,2014,1,1775.0,0,1,83.92
269,15,15,4,0.06,2014,1,950.0,0,0,83.92
270,2,3,0,0.12,2014,1,1550.0,0,3,83.92
271,11,15,4,0.12,2012,0,900.0,10,32,83.92
273,11,15,4,0.0,2012,1,1400.0,0,2,83.92
274,2,3,4,0.0,2017,1,2527.0,1,6,83.83
276,3,3,4,0.0,2015,0,1850.0,0,0,83.83
277,6,0,4,0.11,2016,1,1500.0,0,6,83.83
279,0,16,0,0.0,2016,1,1.0,0,0,83.83
280,15,15,4,0.0,2014,1,525.0,0,1,83.83
282,0,0,3,0.0,2015,1,1200.0,0,1,83.83
283,3,2,4,0.1,2013,1,1300.0,0,3,83.83
284,6,0,4,0.1,2014,1,371.5940262115209,0,1,83.83
285,0,16,0,0.1,2014,1,1260.0,0,0,83.83
287,2,3,4,0.11,2013,1,1750.0,0,1,83.83
288,6,0,4,0.11,2013,1,399.46357817738493,0,3,83.83
