,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points,Calidad
0,5,7,4,0.12,2014,1,2075.0,0,1,89.92,Premium
1,5,7,4,0.12,2014,1,2075.0,0,2,88.83,Premium
2,5,7,0,0.1,2014,1,1822.5,0,4,88.25,Premium
3,1,1,4,0.1,2015,1,1450.0,0,0,87.25,Premium
4,14,7,4,0.0,2014,1,2019.0,0,0,87.25,Premium
5,3,3,4,0.11,2014,1,1300.0,0,2,87.17,Premium
6,11,7,4,0.13,2012,1,1320.0,0,0,87.17,Premium
7,0,0,0,0.12,2011,1,1250.0,0,2,86.92,Premium
8,18,11,4,0.12,2013,1,1950.0,0,1,86.83,Premium
9,15,14,2,0.0,2015,1,1200.0,0,0,86.58,Premium
10,0,0,0,0.12,2011,1,1300.0,0,2,86.42,Premium
11,3,3,4,0.0,2016,0,1300.0,0,0,86.33,Premium
12,9,13,4,0.12,2013,0,1800.0,0,1,86.25,Premium
13,17,3,4,0.1,2012,1,1300.0,1,9,86.17,Premium
14,15,0,3,0.12,2015,1,1000.0,0,0,86.08,Premium
15,9,12,0,0.11,2014,0,1754.0,0,2,86.08,Premium
16,0,0,3,0.11,2011,0,1250.0,0,2,86.08,Premium
17,2,3,4,0.12,2013,1,1200.0,1,1,86.0,Premium
18,9,12,4,0.11,2013,1,1860.0,0,1,86.0,Premium
19,18,7,4,0.1,2012,0,1650.0,0,0,86.0,Premium
20,18,11,0,0.12,2013,1,1650.0,0,0,85.92,Premium
21,2,3,4,0.0,2013,0,1800.0,1,0,85.92,Premium
22,14,4,4,0.08,2017,0,1600.0,0,0,85.83,Premium
23,6,0,4,0.12,2012,1,464.49253276440106,0,3,85.83,Premium
24,6,2,4,0.1,2012,0,431.97805547089297,0,1,85.83,Premium
25,4,0,4,0.1,2013,0,1500.0,0,3,85.58,Premium
26,4,0,3,0.11,2012,1,1350.0,0,0,85.58,Premium
27,9,12,0,0.1,2014,1,1900.0,0,3,85.5,Premium
28,5,7,0,0.12,2015,1,1900.0,0,7,85.5,Premium
29,18,11,4,0.12,2013,1,1600.0,0,1,85.5,Premium
30,6,0,4,0.11,2013,1,527.6635172203596,0,1,85.5,Premium
31,18,11,4,0.12,2013,1,1950.0,0,5,85.42,Premium
32,0,0,3,0.11,2011,0,1250.0,0,1,85.42,Premium
33,1,1,0,0.1,2015,1,1700.0,0,0,85.33,Premium
34,6,8,0,0.11,2014,1,1770.0,0,1,85.33,Premium
35,3,3,4,0.0,2014,0,1300.0,0,0,85.33,Premium
36,3,3,4,0.1,2014,0,1300.0,0,2,85.33,Premium
37,9,13,4,0.0,2012,1,1600.0,0,2,85.33,Premium
38,9,13,4,0.0,2012,1,1200.0,0,6,85.33,Premium
39,2,3,4,0.11,2015,1,1550.0,0,0,85.25,Premium
40,2,3,0,0.12,2014,1,1550.0,0,2,85.25,Premium
41,8,7,3,0.11,2012,1,1325.0,0,3,85.17,Premium
42,2,3,0,0.11,2012,1,2136.0,0,8,85.08,Premium
43,18,11,4,0.11,2016,1,1800.0,0,1,85.0,Bueno
