Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Calidad
3,2,4,0.1,2013,0,1100.0,0,4,0
11,7,4,0.13,2012,1,1320.0,0,0,2
11,3,4,0.12,2014,1,1200.0,0,2,1
0,0,0,0.11,2016,0,934.0,0,3,1
5,7,0,0.12,2015,1,1900.0,0,7,2
11,15,4,0.13,2012,1,1400.0,0,1,0
11,15,4,0.14,2012,1,1320.0,0,0,0
7,2,4,0.11,2015,1,1350.0,0,2,1
5,7,4,0.12,2014,1,2075.0,0,2,2
9,13,4,0.12,2013,0,1800.0,0,1,2
16,7,4,0.12,2014,0,1400.0,0,1,1
3,3,4,0.11,2014,1,1300.0,0,2,2
16,7,4,0.12,2014,1,1877.0,0,4,1
15,15,3,0.11,2014,1,150.0,0,0,1
11,15,3,0.12,2012,1,1250.0,0,10,1
15,15,0,0.0,2016,1,750.0,0,0,1
3,3,4,0.12,2014,1,1200.0,2,4,0
0,6,0,0.11,2012,1,950.0,0,4,1
1,1,4,0.11,2015,1,1200.0,0,0,1
6,3,4,0.11,2016,1,1500.0,2,3,1
4,0,4,0.12,2014,1,1500.0,0,0,1
11,15,4,0.12,2014,1,1000.0,0,1,0
1,15,4,0.0,2013,1,1850.0,0,5,0
11,7,4,0.12,2012,1,1100.0,1,7,0
5,7,4,0.12,2014,1,2075.0,0,1,2
6,0,4,0.11,2013,1,399.46357817738493,3,9,0
9,13,4,0.0,2012,1,1200.0,0,6,2
15,14,2,0.0,2015,1,1200.0,0,0,2
5,7,4,0.12,2014,1,2075.0,0,2,2
2,3,0,0.11,2012,1,2136.0,0,8,2
11,15,4,0.11,2014,1,1296.0,0,0,1
16,7,4,0.12,2014,1,1600.0,0,2,1
18,11,4,0.12,2013,1,1950.0,0,5,2
6,0,4,0.11,2013,1,527.6635172203596,0,1,2
6,7,4,0.1,2014,1,371.5940262115209,1,4,0
7,2,4,0.1,2014,1,1450.0,0,3,0
6,0,4,0.1,2017,1,1901.0,0,1,1
15,15,3,0.11,2015,1,800.0,0,0,1
6,7,4,0.1,2014,1,371.5940262115209,1,4,0
17,3,4,0.1,2012,1,1300.0,1,9,2
2,3,4,0.12,2013,1,1200.0,1,1,2
0,0,0,0.12,2011,1,1300.0,0,2,2
7,9,4,0.11,2014,1,1350.0,1,16,0
15,0,3,0.12,2015,1,1000.0,0,0,2
14,15,0,0.0,2014,1,1200.0,0,4,1
6,8,0,0.11,2014,1,1770.0,0,1,2
7,2,4,0.11,2016,0,1450.0,0,1,1
15,15,4,0.12,2012,0,650.0,0,0,1
15,15,0,0.12,2015,1,180.0,0,2,1
6,8,0,0.11,2014,1,1770.0,0,1,2
9,12,0,0.1,2014,1,1900.0,0,3,2
8,15,3,0.13,2015,0,1250.0,0,6,1
11,15,4,0.13,2012,1,1300.0,0,3,0
11,15,4,0.12,2014,1,1000.0,0,1,0
9,12,0,0.1,2014,1,1900.0,0,3,2
11,15,4,0.12,2013,1,1400.0,0,4,0
11,0,4,0.13,2012,1,1170.0,0,9,1
2,7,4,0.12,2015,1,1530.0,0,4,1
7,2,4,0.1,2014,1,1450.0,0,3,0
6,7,4,0.12,2014,1,371.5940262115209,0,3,0
6,0,4,0.1,2017,1,1901.0,0,1,1
2,3,0,0.12,2014,1,1550.0,0,2,2
10,4,4,0.13,2014,1,1556.0,0,0,1
2,3,4,0.0,2012,1,1750.0,0,2,1
0,16,0,0.0,2016,1,1.0,0,1,1
