,Country.of.Origin,Variety,Processing.Method,Moisture,Harvest.Year,Color,altitude_mean_meters,Category.One.Defects,Category.Two.Defects,Total.Cup.Points,Calidad
1683,3,2,4,0.1,2013,0,1100.0,0,4,79.75,Estándar
2904,11,7,4,0.13,2012,1,1320.0,0,0,87.17,Premium
248,11,3,4,0.12,2014,1,1200.0,0,2,83.33,Bueno
395,0,0,0,0.11,2016,0,934.0,0,3,82.67,Bueno
2590,5,7,0,0.12,2015,1,1900.0,0,7,85.5,Premium
1965,11,15,4,0.13,2012,1,1400.0,0,1,78.58,Estándar
2241,11,15,4,0.14,2012,1,1320.0,0,0,78.75,Estándar
484,7,2,4,0.11,2015,1,1350.0,0,2,82.25,Bueno
2984,5,7,4,0.12,2014,1,2075.0,0,2,88.83,Premium
2817,9,13,4,0.12,2013,0,1800.0,0,1,86.25,Premium
1623,16,7,4,0.12,2014,0,1400.0,0,1,80.58,Bueno
3009,3,3,4,0.11,2014,1,1300.0,0,2,87.17,Premium
549,16,7,4,0.12,2014,1,1877.0,0,4,81.92,Bueno
1492,15,15,3,0.11,2014,1,150.0,0,0,81.67,Bueno
578,11,15,3,0.12,2012,1,1250.0,0,10,81.83,Bueno
176,15,15,0,0.0,2016,1,750.0,0,0,83.75,Bueno
2151,3,3,4,0.12,2014,1,1200.0,2,4,77.92,Estándar
1195,0,6,0,0.11,2012,1,950.0,0,4,83.17,Bueno
1175,1,1,4,0.11,2015,1,1200.0,0,0,83.17,Bueno
1173,6,3,4,0.11,2016,1,1500.0,2,3,83.17,Bueno
483,4,0,4,0.12,2014,1,1500.0,0,0,82.25,Bueno
2307,11,15,4,0.12,2014,1,1000.0,0,1,70.75,Estándar
1730,1,15,4,0.0,2013,1,1850.0,0,5,78.67,Estándar
1675,11,7,4,0.12,2012,1,1100.0,1,7,79.92,Estándar
2703,5,7,4,0.12,2014,1,2075.0,0,1,89.92,Premium
1747,6,0,4,0.11,2013,1,399.46357817738493,3,9,78.0,Estándar
3081,9,13,4,0.0,2012,1,1200.0,0,6,85.33,Premium
2514,15,14,2,0.0,2015,1,1200.0,0,0,86.58,Premium
2413,5,7,4,0.12,2014,1,2075.0,0,2,88.83,Premium
2821,2,3,0,0.11,2012,1,2136.0,0,8,85.08,Premium
442,11,15,4,0.11,2014,1,1296.0,0,0,82.42,Bueno
1004,16,7,4,0.12,2014,1,1600.0,0,2,84.25,Bueno
2523,18,11,4,0.12,2013,1,1950.0,0,5,85.42,Premium
2561,6,0,4,0.11,2013,1,527.6635172203596,0,1,85.5,Premium
2234,6,7,4,0.1,2014,1,371.5940262115209,1,4,79.42,Estándar
889,7,2,4,0.1,2014,1,1450.0,0,3,69.17,Estándar
275,6,0,4,0.1,2017,1,1901.0,0,1,83.17,Bueno
944,15,15,3,0.11,2015,1,800.0,0,0,84.92,Bueno
806,6,7,4,0.1,2014,1,371.5940262115209,1,4,79.42,Estándar
908,17,3,4,0.1,2012,1,1300.0,1,9,86.17,Premium
2448,2,3,4,0.12,2013,1,1200.0,1,1,86.0,Premium
2507,0,0,0,0.12,2011,1,1300.0,0,2,86.42,Premium
883,7,9,4,0.11,2014,1,1350.0,1,16,73.42,Estándar
2659,15,0,3,0.12,2015,1,1000.0,0,0,86.08,Premium
1564,14,15,0,0.0,2014,1,1200.0,0,4,81.17,Bueno
2896,6,8,0,0.11,2014,1,1770.0,0,1,85.33,Premium
279,7,2,4,0.11,2016,0,1450.0,0,1,83.17,Bueno
1431,15,15,4,0.12,2012,0,650.0,0,0,82.0,Bueno
1512,15,15,0,0.12,2015,1,180.0,0,2,81.5,Bueno
929,6,8,0,0.11,2014,1,1770.0,0,1,85.33,Premium
2571,9,12,0,0.1,2014,1,1900.0,0,3,85.5,Premium
410,8,15,3,0.13,2015,0,1250.0,0,6,82.58,Bueno
2052,11,15,4,0.13,2012,1,1300.0,0,3,77.5,Estándar
2168,11,15,4,0.12,2014,1,1000.0,0,1,70.75,Estándar
27,9,12,0,0.1,2014,1,1900.0,0,3,85.5,Premium
789,11,15,4,0.12,2013,1,1400.0,0,4,79.75,Estándar
1370,11,0,4,0.13,2012,1,1170.0,0,9,82.33,Bueno
126,2,7,4,0.12,2015,1,1530.0,0,4,84.17,Bueno
2304,7,2,4,0.1,2014,1,1450.0,0,3,69.17,Estándar
1732,6,7,4,0.12,2014,1,371.5940262115209,0,3,78.58,Estándar
543,6,0,4,0.1,2017,1,1901.0,0,1,81.92,Bueno
2942,2,3,0,0.12,2014,1,1550.0,0,2,85.25,Premium
1465,10,4,4,0.13,2014,1,1556.0,0,0,81.83,Bueno
131,2,3,4,0.0,2012,1,1750.0,0,2,84.17,Bueno
656,0,16,0,0.0,2016,1,1.0,0,1,81.25,Bueno
795,4,0,4,0.0,2016,0,1250.0,0,12,79.67,Estándar
2435,9,12,4,0.11,2013,1,1860.0,0,1,86.0,Premium
1123,11,0,0,0.13,2012,1,1170.0,0,14,83.5,Bueno
425,0,16,3,0.11,2014,0,1260.0,0,0,82.5,Bueno
1270,6,0,4,0.1,2017,1,371.5940262115209,0,1,82.75,Bueno
96,2,3,4,0.0,2013,1,1800.0,0,0,84.33,Bueno
2500,1,1,0,0.1,2015,1,1700.0,0,0,85.33,Premium
569,8,15,1,0.11,2014,1,1300.0,2,6,81.83,Bueno
346,11,0,4,0.12,2015,0,1300.0,2,8,82.92,Bueno
3058,0,0,3,0.11,2011,0,1250.0,0,2,86.08,Premium
610,10,4,4,0.13,2014,1,1100.0,0,0,81.58,Bueno
1324,11,15,4,0.13,2012,1,1679.0,0,10,82.5,Bueno
2443,5,7,4,0.12,2014,1,2075.0,0,1,89.92,Premium
141,6,0,0,0.1,2014,1,371.5940262115209,0,1,84.0,Bueno
758,6,3,4,0.11,2012,1,1400.0,1,12,80.25,Bueno
2118,11,15,4,0.13,2012,0,1280.0,23,29,75.17,Estándar
1333,1,1,4,0.1,2015,1,1600.0,0,0,82.42,Bueno
207,2,3,4,0.12,2015,1,1775.0,0,3,83.58,Bueno
3044,9,12,0,0.11,2014,0,1754.0,0,2,86.08,Premium
1647,7,3,0,0.1,2016,1,1400.0,0,4,80.25,Bueno
1201,15,15,0,0.0,2015,1,750.0,0,0,83.08,Bueno
2395,6,0,4,0.11,2013,1,399.46357817738493,1,1,74.33,Estándar
470,6,0,4,0.12,2013,1,399.46357817738493,2,1,82.33,Bueno
64,3,2,4,0.11,2014,1,1200.0,0,4,84.67,Bueno
1212,6,0,4,0.11,2015,1,1500.0,0,2,83.0,Bueno
2208,6,0,4,0.11,2013,1,399.46357817738493,0,2,77.83,Estándar
1709,7,2,4,0.11,2017,1,1650.0,0,5,79.17,Estándar
236,2,3,4,0.11,2016,1,442.0,0,2,83.42,Bueno
416,11,15,4,0.1,2012,1,1250.0,0,6,82.58,Bueno
1499,11,0,4,0.11,2012,1,1400.0,0,2,81.67,Bueno
1603,14,1,4,0.0,2016,1,1300.0,0,0,80.83,Bueno
796,6,0,4,0.11,2013,1,399.46357817738493,0,6,79.67,Estándar
729,0,0,3,0.0,2015,1,1200.0,0,3,80.58,Bueno
